LA_code,local_authority
Na h-Eileanan Siar,Na h-Eileanan an Iar
Orkney Islands,Orkney Islands
Shetland Islands,Shetland Islands
Argyll and Bute,Argyll and Bute
4,East Dunbartonshire
3,Clackmannanshire
Moray,Moray
East Ayrshire,East Ayrshire
8,Inverclyde
5,East Renfrewshire
10,North Ayrshire
East Lothian,East Lothian
Angus,Angus
Perth and Kinross,Perth and Kinross
Dumfries and Galloway,Dumfries and Galloway
Scottish Borders,Scottish Borders
Stirling,Stirling
South Ayrshire,South Ayrshire
6,Falkirk
13,West Dunbartonshire
9,Midlothian
South Lanarkshire,South Lanarkshire
Highland,Highland
12,Renfrewshire
Fife,Fife
Aberdeenshire,Aberdeenshire
Dundee City,Dundee City
11,North Lanarkshire
1,Aberdeen City
14,West Lothian
7,Glasgow City
2,City of Edinburgh
